ds,yhat,yhat_lower,yhat_upper,y_x,y_y
2024-09-24,301.94961908530996,168.93490083332816,436.9860835125872,171.7415262229595,171.7415262229595
2024-09-25,285.16616251126266,142.89724763501502,412.1051016639398,396.06559032797867,396.06559032797867
2024-09-26,303.6244135062107,175.9329059094564,435.1863662621031,323.4612018851727,323.4612018851727
2024-09-27,292.81515637478236,168.30132509873192,427.0602130327243,333.8497886163387,333.8497886163387
2024-09-28,238.31120840571225,106.6289130958472,360.7250443915644,362.6478241444393,362.6478241444393
2024-09-29,235.44881710293248,103.79535302393836,366.42721187586113,309.8543875039987,309.8543875039987
2024-09-30,427.89193099443094,292.2040313566484,563.350346975544,491.3789682541841,491.3789682541841
2024-10-01,278.92019191442796,144.43271224558399,407.0399441137741,374.47907294728,374.47907294728
2024-10-02,265.18492889332583,136.91271398799483,390.5569603762572,248.76351092632999,248.76351092632999
2024-10-03,286.9765790206876,164.81835588669307,420.0855547285367,228.4869248434994,228.4869248434994
2024-10-04,279.7211027418678,143.56541016894568,413.1212464630661,238.14727873890232,238.14727873890232
2024-10-05,228.9203575617578,101.45233219227285,373.61973328988023,217.14393401864373,217.14393401864373
2024-10-06,229.83528964994332,96.83244594137504,356.4109900567979,329.69236149999375,329.69236149999375
2024-10-07,274.03087848524683,143.47782333600188,402.2736141992323,243.74387939381882,243.74387939381882
2024-10-08,280.7723814346159,154.6522339345598,422.8310485540871,202.97466683442113,202.97466683442113
2024-10-09,270.5708456899221,139.17408007555207,399.3157868056654,253.7124462667931,253.7124462667931
2024-10-10,295.66501799017107,168.3302908937778,425.8327719386631,247.95277569513564,247.95277569513564
2024-10-11,291.41340248319636,156.3127435615187,417.1596500632759,246.9789499107302,246.9789499107302
2024-10-12,243.25763440649126,106.45416084482557,378.7212189595981,193.2258995527086,193.2258995527086
2024-10-13,246.4072276458578,105.59172210619009,374.6410719608601,189.6375283671461,189.6375283671461
2024-10-14,292.38583793477335,156.56527892363385,422.91177486264854,230.65127698637727,230.65127698637727
2024-10-15,300.42855149424247,169.16292227978607,434.50975899104753,214.00893527937674,214.00893527937674
2024-10-16,291.02813743109607,164.7722088996769,431.45194533914065,413.21668399361863,413.21668399361863
2024-10-17,316.41737356446697,177.62600961086662,442.65655043231425,392.02545657353966,392.02545657353966
2024-10-18,311.96118467484683,173.54370438320683,452.8930223574945,236.60473748352362,236.60473748352362
2024-10-19,263.11975919009654,152.6733958767042,391.56360396077275,188.60378244442882,188.60378244442882
2024-10-20,265.1327098059029,134.30582684798284,395.79312070737274,380.1207864298296,380.1207864298296
2024-10-21,309.56443734551215,182.95941625753434,446.4739370717855,278.04248671191306,278.04248671191306
2024-10-22,315.70023357114684,186.48973457555238,448.37905508417816,222.31729512649554,222.31729512649554
2024-10-23,304.0910955446342,173.48391138070065,435.50297746593975,536.1763581591902,536.1763581591902
2024-10-24,327.0344025973407,206.20817529181028,452.6369479374004,238.99083619239005,238.99083619239005
2024-10-25,319.9642422953907,193.59598942964723,454.3224209797079,229.0329640299299,229.0329640299299
2024-10-26,268.41260317347087,138.64766778783564,394.4261722648583,344.3957434976215,344.3957434976215
2024-10-27,267.69155509838845,137.79048776617918,392.01209183308873,330.18277768921337,330.18277768921337
2024-10-28,309.4366327115444,172.3398409396668,448.6472453454749,307.7804121626493,307.7804121626493
2024-10-29,313.00101417601974,180.73567986161947,448.351410883517,330.5828928763781,330.5828928763781
2024-10-30,298.9985222922262,170.7445127913696,439.14801257202475,372.7381838306374,372.7381838306374
2024-10-31,471.803900770456,337.77380307004813,599.0942292164548,627.2511026208185,627.2511026208185
2024-11-01,310.8354456408339,174.0069765529699,430.8042077473229,241.57187276666178,241.57187276666178
2024-11-02,257.72750700571794,128.65450553124086,398.21511449834094,190.90136763433497,190.90136763433497
2024-11-03,255.7992531497149,125.98453343832193,391.90491019621743,195.1768295151838,195.1768295151838
2024-11-04,296.70369841449235,172.47337981602786,430.1725926224493,249.23851782277487,249.23851782277487
2024-11-05,299.80034573485005,170.41308252259466,427.4653904752067,470.7764017530213,470.7764017530213
2024-11-06,285.6982293222577,143.35705314808294,415.52449590299955,275.11574073651366,275.11574073651366
2024-11-07,306.73530592692987,177.8693991141931,434.51396133899493,240.40547901939755,240.40547901939755
2024-11-08,298.3680144513417,161.72765618578973,422.8510092586774,228.49856375694512,228.49856375694512
2024-11-09,246.13223982820256,119.47396564352756,371.6228019125139,316.56356345070924,316.56356345070924
2024-11-10,245.3258044302315,110.9368624856259,375.6645076061816,193.50023047428067,193.50023047428067
2024-11-11,287.55268907318487,147.12759723874987,421.4831679099256,223.05477063938974,223.05477063938974
2024-11-12,292.11854720262727,156.75713508222086,420.2621976698773,236.0296386096933,236.0296386096933
2024-11-13,279.5754960713637,141.21218596585825,425.7913846647836,244.0624417191406,244.0624417191406
2024-11-14,302.2033309556265,170.7084091840093,429.7307754565547,236.61203465808518,236.61203465808518
2024-11-15,295.40092725880027,159.16190539744477,427.0968593146192,558.5009475996427,558.5009475996427
2024-11-16,244.6490111834741,123.80966209508578,383.8338505350451,174.2494086398784,174.2494086398784
2024-11-17,245.19436822917143,117.20172900745806,371.4296100624475,219.1771140639102,219.1771140639102
2024-11-18,288.59564042049095,158.64181283083155,415.7219259387674,243.45782130358032,243.45782130358032
2024-11-19,294.1202289564299,166.27893238626473,425.13324102619384,241.40583467374188,241.40583467374188
2024-11-20,282.2902451104291,155.6922015471934,418.6217438745018,248.12360124985088,248.12360124985088
2024-11-21,305.36462112173024,172.92341921149676,425.6894237165775,350.56359513195196,350.56359513195196
2024-11-22,298.73111969121607,168.06589147904077,426.03776411245167,253.48206938746665,253.48206938746665
2024-11-23,247.86940549275286,117.86653802411323,382.0733427063749,383.3548228621193,383.3548228621193
2024-11-24,248.0352390589035,118.07045698379746,384.49326330730395,250.42811001451727,250.42811001451727
2024-11-25,290.80594563792437,164.11917087033711,422.8743009925665,217.28210511641888,217.28210511641888
2024-11-26,295.47668595794903,165.21492338534503,424.1515779804272,369.37420712376274,369.37420712376274
